"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ABCC8",0,1.65779606669332,0.703,0.229,0
"ADCYAP1",0,2.71366777397925,0.768,0.037,0
"B2M",0,-1.16230865762021,0.967,0.988,0
"C1QL1",0,1.41231068257691,0.717,0.201,0
"C1orf127",0,0.695823886524741,0.382,0.026,0
"CDKN1C",0,2.77467238384217,0.672,0.281,0
"CPE",0,1.14457434094835,0.997,0.681,0
"DLK1",0,2.83754708761602,0.569,0.054,0
"EEF1A2",0,0.942898198773627,0.899,0.433,0
"ELMO1",0,0.908575066761543,0.506,0.051,0
"ENDOD1",0,0.59415493094677,0.399,0.065,0
"ERO1B",0,1.57763009851675,0.806,0.286,0
"G6PC2",0,1.62813451205996,0.587,0.134,0
"GAD2",0,1.80907187560268,0.869,0.365,0
"GNAS",0,1.21855706146836,0.998,0.913,0
"GSN",0,1.09627010123925,0.683,0.23,0
"GSTP1",0,-1.23359772388987,0.324,0.73,0
"HADH",0,1.88061497927508,0.861,0.154,0
"HOPX",0,0.824747536191515,0.525,0.089,0
"HSPB1",0,-2.0511717269043,0.562,0.914,0
"IAPP",0,5.54897403041859,0.976,0.48,0
"IFITM3",0,-2.3595211309733,0.051,0.502,0
"IGF2",0,1.85021103270867,0.699,0.063,0
"INS",0,5.64833137549367,1,0.816,0
"LDHA",0,-1.25863859114804,0.095,0.575,0
"MAFA",0,1.46688131540831,0.507,0.016,0
"MEG3",0,1.14030486349293,0.541,0.085,0
"NKX6.1",0,1.02801103755219,0.559,0.124,0
"NLRP1",0,0.82350840629197,0.844,0.4,0
"NPTX2",0,1.07679797170155,0.488,0.065,0
"PAPSS2",0,1.18847342672474,0.778,0.369,0
"PCSK1",0,1.6400800245142,0.812,0.158,0
"PDX1",0,0.91545568549894,0.501,0.086,0
"PEMT",0,0.996214579200277,0.931,0.522,0
"PLCXD3",0,0.839176042648331,0.569,0.154,0
"PPP1R1A",0,1.38076840098621,0.835,0.429,0
"RGS16",0,1.0539186133977,0.357,0.026,0
"RHOC",0,-1.26637116549259,0.023,0.543,0
"RPL3",0,0.775669009202441,1,1,0
"SCGN",0,1.25253309147811,0.916,0.538,0
"SERPINA1",0,-3.28408610732861,0.14,0.57,0
"SLC30A8",0,1.32420992625796,0.716,0.299,0
"SLC6A6",0,0.976391274165985,0.54,0.12,0
"SORL1",0,0.920647340916296,0.569,0.157,0
"STX1A",0,1.18926998265318,0.688,0.24,0
"SYT13",0,0.792691068614912,0.493,0.084,0
"TM4SF1",0,-1.99590635204294,0.046,0.49,0
"TMSB4X",0,-2.41477250446997,0.693,0.939,0
"TSPAN1",0,0.957616711050632,0.452,0.085,0
"UCHL1",0,1.46826150742262,0.917,0.386,0
"VAT1L",0,0.65749164748526,0.358,0.028,0
"VIM",0,-1.9736983361371,0.028,0.542,0
"ZFP36L1",0,-1.88179280668386,0.02,0.471,0
"GJD2",9.71837404185769e-308,0.683141277143035,0.341,0.044,1.54113975555779e-303
"MAPT",3.85377698481791e-307,0.536095016854221,0.335,0.041,6.11131954252424e-303
"TMOD1",8.61319532864956e-307,0.867054470482775,0.785,0.381,1.36588051521725e-302
"CADM1",2.01919225587376e-299,0.835605867796248,0.617,0.225,3.2020350793646e-295
"DNAJC12",1.85069505445915e-297,0.855613602016557,0.713,0.309,2.93483221736131e-293
"TIMP2",1.92647754127401e-294,0.969446437088544,0.743,0.329,3.05500808495232e-290
"RASD1",3.7133485985893e-294,1.15637252054563,0.775,0.38,5.88862820764291e-290
"SAMD11",1.67260704079405e-293,0.458045688777098,0.296,0.028,2.6524202452912e-289
"TMSB10",2.22231129073512e-292,-2.02846176261344,0.492,0.76,3.52414124484776e-288
"SYT7",1.67161099170932e-281,0.920529814376957,0.691,0.31,2.65084071065264e-277
"SLC2A13",2.0570842180838e-281,0.646281017371164,0.446,0.11,3.26212415303729e-277
"RBP4",2.38387494044613e-279,0.557794735452393,0.534,0.14,3.78034888055947e-275
"PFKFB2",1.16030982409492e-277,0.615427939529746,0.397,0.083,1.84001931904973e-273
"BMP5",2.5532345324443e-276,0.501487258657908,0.337,0.049,4.04891932155017e-272
