"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ABCC3",0,0.801882882277593,0.492,0.049,0
"ADAMTS9",0,0.893268110909455,0.379,0.028,0
"AGRN",0,1.31962058201707,0.672,0.098,0
"AHNAK",0,0.972989836105633,0.579,0.103,0
"ALDH1A3",0,1.33156103588143,0.516,0.016,0
"ANXA2",0,2.51165423683705,0.99,0.69,0
"ANXA3",0,0.945244334756071,0.488,0.015,0
"ANXA4",0,2.34710364675023,0.78,0.146,0
"AQP1",0,1.06157489281318,0.333,0.013,0
"BACE2",0,1.28421918713731,0.76,0.213,0
"BARX2",0,0.471459354574942,0.251,0.002,0
"C1orf106",0,0.882106344390164,0.502,0.034,0
"C3",0,1.73968224609806,0.656,0.067,0
"C8orf4",0,1.56022761460091,0.639,0.102,0
"CAV2",0,0.900158322576802,0.503,0.045,0
"CCL2",0,2.44923280636531,0.58,0.036,0
"CD24",0,1.69695314178245,0.939,0.376,0
"CDC42EP1",0,1.5450721233895,0.826,0.162,0
"CFB",0,1.71326919030363,0.759,0.08,0
"CFTR",0,1.83654079714368,0.563,0.01,0
"CITED4",0,1.05324006474242,0.565,0.062,0
"CLDN1",0,1.45870254314228,0.697,0.056,0
"CLDN10",0,1.04814473824543,0.457,0.026,0
"CLDN4",0,1.74654834964491,0.877,0.308,0
"COL18A1",0,0.802745438852683,0.696,0.097,0
"CTGF",0,1.57521877539654,0.388,0.04,0
"CTSH",0,1.21445168713146,0.497,0.059,0
"CX3CL1",0,1.10849450548453,0.396,0.027,0
"CXCL1",0,2.1778914411753,0.439,0.042,0
"CXCL16",0,0.923534803573815,0.562,0.1,0
"CXCL6",0,1.57487115406954,0.326,0.018,0
"CYR61",0,1.95996393731057,0.66,0.085,0
"EDN1",0,1.38787763105416,0.493,0.029,0
"EPHA2",0,0.624034272460865,0.325,0.022,0
"EPHB2",0,0.840834503177756,0.446,0.033,0
"FLNA",0,1.92170754301977,0.848,0.176,0
"GPRC5B",0,1.13128516242513,0.539,0.037,0
"GYPC",0,0.684301322092337,0.447,0.053,0
"HKDC1",0,0.421947272338537,0.25,0.004,0
"HSD17B2",0,0.568901001138,0.231,0.002,0
"HSPB8",0,0.818223272796315,0.457,0.024,0
"HSPG2",0,0.921006303180903,0.585,0.067,0
"IFITM2",0,1.23426128011909,0.772,0.189,0
"IFITM3",0,1.57048609846384,0.934,0.305,0
